bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
0,0.0,1.0,0.0,1,0,2123,1297,4,16632,56570,4,4,1,5,5
0,0.0,1.0,1.0,0,0,159,241,0,7375,5666,3,3,1,4,4
0,0.0,1.0,1.0,0,0,125,362,1,11305,1818,3,3,1,5,4
0,0.0,1.0,0.0,1,0,163,171,2,33114,5534,3,3,1,5,4
1,0.0,0.0,1.0,0,0,157,254,0,1181,3601,3,3,1,4,4
1,0.0,0.0,1.0,0,0,627,1215,6,8386,15062,3,4,1,4,5
0,0.0,0.0,1.0,0,0,42,283,0,2657,509,2,3,1,4,3
0,0.0,1.0,1.0,1,0,856,2713,213,1828,53970,3,4,3,4,5
0,0.0,0.0,1.0,1,1,31,21,0,2589,2610,2,2,1,4,4
0,0.0,0.0,1.0,1,0,213,900,0,283,2302,3,3,1,3,4
0,0.0,0.0,0.0,1,0,1465,1876,40,39610,65895,4,4,2,5,5
0,0.0,0.0,1.0,1,0,1181,1436,38,65082,15582,4,4,2,5,5
0,0.0,0.0,0.0,1,0,3749,3507,27,28570,21977,4,4,2,5,5
0,0.0,1.0,0.0,0,0,481,206,25,64479,77965,3,3,2,5,5
1,0.0,1.0,0.0,0,0,601,684,2,21918,21307,3,3,1,5,5
0,0.0,0.0,0.0,1,0,87,276,0,2171,2072,2,3,1,4,4
0,0.0,1.0,0.0,1,0,262,413,15,30964,26799,3,3,2,5,5
0,0.0,1.0,1.0,1,0,769,537,3,11173,23341,3,3,1,5,5
0,0.0,0.0,1.0,1,0,76,26,0,1392,1229,2,2,1,4,4
0,0.0,1.0,0.0,1,0,87971,949,729,3578,29463,5,3,3,4,5
1,0.0,0.0,1.0,1,0,9,235,0,2090,2085,1,3,1,4,4
1,0.0,1.0,0.0,0,0,760,804,1,5544,24844,3,3,1,4,5
1,0.0,0.0,1.0,0,0,723,1347,1,6256,12413,3,4,1,4,5
0,0.0,0.0,0.0,1,0,2501,1073,31,25181,25906,4,4,2,5,5
1,0.0,1.0,1.0,1,0,253,289,0,3853,5713,3,3,1,4,4
1,0.0,0.0,1.0,0,0,693,1175,2,6003,11021,3,4,1,4,5
0,0.0,0.0,0.0,1,0,1517,2971,15,127242,36571,4,4,2,5,5
0,0.0,0.0,1.0,1,0,72,246,0,6135,1813,2,3,1,4,4
0,0.0,0.0,1.0,1,1,81,243,0,568,4337,2,3,1,3,4
0,0.0,0.0,1.0,1,0,588,244,2,18051,16043,3,3,1,5,5
